Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2016,2,제천,2.65
2016,2,진도군,6.12
2016,2,진주,6.24
2016,2,창원,5.45
2016,2,천안,2.88
2016,2,철원,2.92
2016,2,청송군,2.46
2016,2,청주,2.82
2016,2,추풍령,2.87
2016,2,춘천,3.3
2016,2,충주,2.27
2016,2,태백,2.4
2016,2,통영,5.3
2016,2,파주,3.03
2016,2,포항,2.72
2016,2,함양군,3.43
2016,2,합천,3.9
2016,2,해남,4.29
2016,2,홍성,2.86
2016,2,홍천,2.52
2016,2,흑산도,4.76
2016,3,강릉,8.82
2016,3,강진군,5.45
2016,3,강화,4.15
2016,3,거제,9.55
2016,3,거창,6.78
2016,3,경주시,7.29
2016,3,고산,5.29
2016,3,고산(제주),3.51
2016,3,고창,4.38
2016,3,고창군,4.56
2016,3,고흥,5.68
2016,3,광양시,5.5
2016,3,광주,6.89
2016,3,구미,7.38
2016,3,군산,5.75
2016,3,금산,7.0
2016,3,김해시,7.4
2016,3,남원,6.8
2016,3,남해,8.9
2016,3,대관령,8.52
2016,3,대구,7.55
2016,3,대전,6.75
2016,3,동두천,5.18
2016,3,동해,5.98
2016,3,목포,5.08
2016,3,문경,6.52
2016,3,밀양,8.43
2016,3,백령도,2.85
2016,3,보령,3.03
2016,3,보성군,5.78
2016,3,보은,7.58
2016,3,봉화,6.26
2016,3,부산,8.02
2016,3,부안,4.24
2016,3,부여,5.52
2016,3,북강릉,7.94
2016,3,북창원,8.84
2016,3,산청,7.36
2016,3,상주,6.43
2016,3,서귀포,6.18
2016,3,서산,4.16
2016,3,서울,4.98
2016,3,성산,5.74
2016,3,속초,8.59
2016,3,수원,4.98
2016,3,순창군,7.5
2016,3,순천,6.27
2016,3,안동,5.21
2016,3,양산시,8.2
2016,3,양평,5.53
2016,3,여수,5.53
2016,3,영광군,4.33
2016,3,영덕,6.15
2016,3,영월,5.58
2016,3,영주,7.18
2016,3,영천,6.68
2016,3,완도,5.58
2016,3,울릉도,9.42
2016,3,울산,7.49
2016,3,울진,7.4
2016,3,원주,4.96
2016,3,의령군,6.97
2016,3,의성,5.94
2016,3,이천,4.18
2016,3,인제,7.49
2016,3,인천,3.93
2016,3,임실,6.48
2016,3,장수,7.65
2016,3,장흥,5.35
2016,3,전주,4.71
2016,3,정선군,7.45
2016,3,정읍,5.61
2016,3,제주,3.77
2016,3,제천,6.31
2016,3,진도군,5.49
2016,3,진주,6.99
2016,3,창원,8.85
2016,3,천안,5.45
2016,3,철원,6.05
2016,3,청송군,6.06
2016,3,청주,5.08
2016,3,추풍령,6.33
2016,3,춘천,7.9
2016,3,충주,5.21
2016,3,태백,7.55
2016,3,통영,9.14
2016,3,파주,4.74
2016,3,포항,8.88
2016,3,함양군,5.33
2016,3,합천,7.95
2016,3,해남,4.61
2016,3,홍성,2.93
2016,3,홍천,5.75
2016,3,흑산도,4.55
2016,4,강릉,2.11
2016,4,강진군,3.99
2016,4,강화,3.51
2016,4,거제,5.16
2016,4,거창,2.25
2016,4,경주시,2.32
2016,4,고산,3.11
